input_deg,output_deg
0.022854,0.031035
0.090878,0.123312
0.203194,0.275367
0.358841,0.485461
0.556784,0.751624
0.795927,1.071703
1.075119,1.443408
1.393175,1.864361
1.748878,2.332141
2.140995,2.844323
2.568283,3.398515
3.029497,3.992383
3.523395,4.623674
4.048746,5.290233
4.604329,5.990017
5.188938,6.721093
5.801386,7.481650
6.440501,8.269994
7.105131,9.084546
7.794142,9.923838
8.506420,10.786507
9.240868,11.671290
9.996407,12.577015
10.771977,13.502596
11.566535,14.447026
12.379053,15.409369
13.208524,16.388753
14.053952,17.384367
14.914362,18.395451
15.788793,19.421295
16.676299,20.461230
17.575951,21.514627
18.486838,22.580890
19.408063,23.659454
20.338746,24.749780
21.278024,25.851354
22.225049,26.963683
23.178993,28.086292
24.139043,29.218724
25.104403,30.360534
26.074298,31.511292
27.047967,32.670576
28.024669,33.837977
29.003682,35.013092
29.984301,36.195525
30.965839,37.384888
31.947629,38.580796
32.929023,39.782869
33.909390,40.990733
34.888119,42.204012
35.864616,43.422337
36.838308,44.645340
37.808638,45.872651
38.775067,47.103906
39.737075,48.338739
40.694161,49.576783
41.645838,50.817674
42.591639,52.061046
43.531111,53.306530
44.463819,54.553762
45.389345,55.802370
46.307284,57.051985
47.217247,58.302236
48.118860,59.552748
49.011763,60.803144
49.895609,62.053046
50.770065,63.302072
51.634809,64.549837
52.489534,65.795953
53.333941,67.040027
54.167745,68.281663
54.990671,69.520460
55.802452,70.756012
56.602833,71.987906
57.391568,73.215725
58.168418,74.439044
58.933154,75.657431
59.685553,76.870446
60.425401,78.077641
61.152490,79.278556
61.866620,80.472724
62.567595,81.659663
63.255225,82.838881
63.929329,84.009873
64.589727,85.172117
65.236246,86.325075
65.868719,87.468194
66.486981,88.600900
67.090873,89.722598
67.680240,90.832672
68.254932,91.930481
68.814801,93.015359
69.359705,94.086609
69.889506,95.143507
70.404069,96.185294
70.903264,97.211179
71.386963,98.220329
71.855044,99.211876
72.307390,100.184907
72.743886,101.138467
73.164423,102.071551
73.568894,102.983109
73.957200,103.872035
74.329244,104.737175
74.684932,105.577320
75.024177,106.391204
75.346894,107.177508
75.653002,107.934859
75.942424,108.661828
76.215083,109.356939
76.470905,110.018666
76.709818,110.645439
76.931746,111.235656
77.136614,111.787681
77.324343,112.299862
77.494845,112.770534
77.648027,113.198038
77.783786,113.580730
77.902004,113.916998
78.002549,114.205276
78.085268,114.444062
78.149989,114.631932
78.196514,114.767558
78.224619,114.849722
78.234050,114.877331
