input_deg,output_deg
0.014705,0.022854
0.058505,0.090878
0.130927,0.203194
0.231498,0.358841
0.359744,0.556784
0.515193,0.795927
0.697371,1.075119
0.905806,1.393175
1.140024,1.748878
1.399552,2.140995
1.683917,2.568283
1.992647,3.029497
2.325267,3.523395
2.681305,4.048746
3.060288,4.604329
3.461743,5.188938
3.885196,5.801386
4.330174,6.440501
4.796206,7.105131
5.282816,7.794142
5.789533,8.506420
6.315882,9.240868
6.861392,9.996407
7.425589,10.771977
8.008000,11.566535
8.608152,12.379053
9.225571,13.208524
9.859785,14.053952
10.510320,14.914362
11.176704,15.788793
11.858463,16.676299
12.555125,17.575951
13.266215,18.486838
13.991262,19.408063
14.729792,20.338746
15.481332,21.278024
16.245408,22.225049
17.021549,23.178993
17.809279,24.139043
18.608128,25.104403
19.417621,26.074298
20.237285,27.047967
21.066648,28.024669
21.905236,29.003682
22.752576,29.984301
23.608195,30.965839
24.471620,31.947629
25.342378,32.929023
26.219996,33.909390
27.104000,34.888119
27.993918,35.864616
28.889276,36.838308
29.789602,37.808638
30.694423,38.775067
31.603264,39.737075
32.515654,40.694161
33.431118,41.645838
34.349185,42.591639
35.269381,43.531111
36.191232,44.463819
37.114266,45.389345
38.038010,46.307284
38.961990,47.217247
39.885734,48.118860
40.808768,49.011763
41.730619,49.895609
42.650815,50.770065
43.568882,51.634809
44.484346,52.489534
45.396736,53.333941
46.305577,54.167745
47.210398,54.990671
48.110724,55.802452
49.006082,56.602833
49.896000,57.391568
50.780004,58.168418
51.657622,58.933154
52.528380,59.685553
53.391805,60.425401
54.247424,61.152490
55.094764,61.866620
55.933352,62.567595
56.762715,63.255225
57.582379,63.929329
58.391872,64.589727
59.190721,65.236246
59.978451,65.868719
60.754592,66.486981
61.518668,67.090873
62.270208,67.680240
63.008738,68.254932
63.733785,68.814801
64.444875,69.359705
65.141537,69.889506
65.823296,70.404069
66.489680,70.903264
67.140215,71.386963
67.774429,71.855044
68.391848,72.307390
68.992000,72.743886
69.574411,73.164423
70.138608,73.568894
70.684118,73.957200
71.210467,74.329244
71.717184,74.684932
72.203794,75.024177
72.669826,75.346894
73.114804,75.653002
73.538257,75.942424
73.939712,76.215083
74.318695,76.470905
74.674733,76.709818
75.007353,76.931746
75.316083,77.136614
75.600448,77.324343
75.859976,77.494845
76.094194,77.648027
76.302629,77.783786
76.484807,77.902004
76.640256,78.002549
76.768502,78.085268
76.869073,78.149989
76.941495,78.196514
76.985295,78.224619
77.000000,78.234050
