input_deg,output_deg
0.000509,0.000646
0.002035,0.002584
0.004575,0.005809
0.008126,0.010319
0.012686,0.016109
0.018252,0.023177
0.024822,0.031518
0.032392,0.041128
0.040960,0.052004
0.050523,0.064141
0.061078,0.077537
0.072623,0.092185
0.085155,0.108083
0.098669,0.125226
0.113165,0.143609
0.128638,0.163229
0.145086,0.184080
0.162506,0.206157
0.180895,0.229458
0.200249,0.253975
0.220566,0.279706
0.241842,0.306644
0.264075,0.334785
0.287261,0.364125
0.311397,0.394657
0.336480,0.426377
0.362506,0.459279
0.389473,0.493359
0.417377,0.528610
0.446215,0.565029
0.475983,0.602608
0.506679,0.641344
0.538298,0.681230
0.570838,0.722260
0.604296,0.764430
0.638667,0.807734
0.673948,0.852165
0.710137,0.897719
0.747229,0.944389
0.785221,0.992170
0.824110,1.041055
0.863892,1.091040
0.904563,1.142118
0.946121,1.194283
0.988561,1.247530
1.031880,1.301852
1.076075,1.357244
1.121142,1.413698
1.167076,1.471211
1.213876,1.529775
1.261537,1.589384
1.310055,1.650032
1.359427,1.711714
1.409650,1.774423
1.460719,1.838153
1.512631,1.902898
1.565382,1.968652
1.618968,2.035408
1.673387,2.103161
1.728634,2.171905
1.784705,2.241633
1.841598,2.312340
1.899307,2.384018
1.957829,2.456663
2.017162,2.530267
2.077300,2.604826
2.138240,2.680332
2.199979,2.756780
2.262512,2.834163
2.325836,2.912476
2.389948,2.991713
2.454843,3.071867
2.520517,3.152932
2.586967,3.234903
2.654189,3.317774
2.722180,3.401537
2.790935,3.486189
2.860450,3.571722
2.930723,3.658130
3.001749,3.745408
3.073524,3.833550
3.146044,3.922551
3.219306,4.012403
3.293306,4.103102
3.368040,4.194641
3.443505,4.287016
3.519696,4.380219
3.596610,4.474246
3.674242,4.569091
3.752590,4.664748
3.831649,4.761211
3.911415,4.858476
3.991886,4.956535
4.073056,5.055385
4.154922,5.155019
4.237480,5.255432
4.320727,5.356618
4.404658,5.458572
4.489271,5.561290
4.574560,5.664764
4.660523,5.768991
4.747155,5.873964
4.834453,5.979679
4.922413,6.086130
5.011031,6.193312
5.100303,6.301221
5.190226,6.409850
5.280796,6.519196
5.372009,6.629252
5.463860,6.740014
5.556348,6.851477
5.649467,6.963636
5.743213,7.076486
5.837585,7.190022
5.932576,7.304239
6.028184,7.419134
6.124405,7.534700
6.221235,7.650933
6.318670,7.767829
6.416707,7.885382
6.515342,8.003589
6.614571,8.122445
6.714391,8.241944
6.814797,8.362083
6.915786,8.482858
7.017355,8.604263
7.119499,8.726294
7.222215,8.848947
7.325499,8.972218
7.429347,9.096102
7.533756,9.220596
7.638722,9.345694
7.744242,9.471392
7.850311,9.597688
7.956926,9.724575
8.064084,9.852051
8.171780,9.980111
8.280011,10.108751
8.388773,10.237968
8.498063,10.367756
8.607877,10.498113
8.718211,10.629035
8.829062,10.760516
8.940426,10.892555
9.052300,11.025146
9.164679,11.158287
9.277560,11.291973
9.390941,11.426201
9.504816,11.560967
9.619182,11.696267
9.734036,11.832097
9.849374,11.968456
9.965193,12.105337
10.081489,12.242739
10.198258,12.380657
10.315497,12.519089
10.433203,12.658030
10.551371,12.797477
10.669998,12.937427
10.789081,13.077877
10.908615,13.218823
11.028599,13.360262
11.149027,13.502191
11.269897,13.644606
11.391204,13.787504
11.512946,13.930882
11.635119,14.074737
11.757720,14.219065
11.880744,14.363864
12.004188,14.509130
12.128050,14.654861
12.252325,14.801053
12.377010,14.947704
12.502101,15.094809
12.627595,15.242367
12.753489,15.390375
12.879779,15.538828
13.006462,15.687726
13.133534,15.837064
13.260991,15.986840
13.388831,16.137050
13.517050,16.287693
13.645645,16.438765
13.774612,16.590264
13.903947,16.742187
14.033648,16.894531
14.163710,17.047293
14.294131,17.200471
14.424908,17.354062
14.556036,17.508063
14.687512,17.662472
14.819334,17.817286
14.951498,17.972502
15.083999,18.128119
15.216836,18.284133
15.350005,18.440542
15.483502,18.597343
15.617324,18.754534
15.751468,18.912112
15.885930,19.070075
16.020708,19.228421
16.155798,19.387147
16.291196,19.546250
16.426899,19.705728
16.562905,19.865579
16.699209,20.025801
16.835809,20.186391
16.972702,20.347346
17.109883,20.508665
17.247350,20.670345
17.385100,20.832383
17.523130,20.994778
17.661435,21.157528
17.800014,21.320629
17.938862,21.484080
18.077977,21.647879
18.217356,21.812023
18.356995,21.976510
18.496890,22.141338
18.637040,22.306505
18.777441,22.472009
18.918089,22.637847
19.058982,22.804017
19.200116,22.970518
19.341489,23.137346
19.483096,23.304501
19.624936,23.471980
19.767005,23.639780
19.909299,23.807900
20.051817,23.976338
20.194554,24.145092
20.337507,24.314159
20.480675,24.483538
20.624053,24.653227
20.767638,24.823223
20.911428,24.993525
21.055419,25.164131
21.199609,25.335038
21.343994,25.506245
21.488572,25.677750
21.633339,25.849551
21.778293,26.021646
21.923430,26.194033
22.068747,26.366710
22.214242,26.539675
22.359912,26.712926
22.505753,26.886462
22.651764,27.060281
22.797939,27.234380
22.944278,27.408758
23.090777,27.583413
23.237433,27.758343
23.384243,27.933546
23.531204,28.109021
23.678314,28.284766
23.825569,28.460778
23.972967,28.637056
24.120505,28.813599
24.268180,28.990404
24.415989,29.167470
24.563929,29.344794
24.711998,29.522376
24.860192,29.700213
25.008510,29.878303
25.156948,30.056646
