input_deg,output_deg
0.000365,0.000509
0.001460,0.002035
0.003282,0.004575
0.005830,0.008126
0.009103,0.012686
0.013097,0.018252
0.017811,0.024822
0.023244,0.032392
0.029394,0.040960
0.036258,0.050523
0.043835,0.061078
0.052123,0.072623
0.061121,0.085155
0.070826,0.098669
0.081237,0.113165
0.092352,0.128638
0.104169,0.145086
0.116686,0.162506
0.129901,0.180895
0.143813,0.200249
0.158419,0.220566
0.173718,0.241842
0.189708,0.264075
0.206388,0.287261
0.223755,0.311397
0.241807,0.336480
0.260543,0.362506
0.279962,0.389473
0.300060,0.417377
0.320836,0.446215
0.342289,0.475983
0.364416,0.506679
0.387216,0.538298
0.410687,0.570838
0.434827,0.604296
0.459635,0.638667
0.485107,0.673948
0.511244,0.710137
0.538042,0.747229
0.565500,0.785221
0.593616,0.824110
0.622389,0.863892
0.651816,0.904563
0.681895,0.946121
0.712626,0.988561
0.744005,1.031880
0.776032,1.076075
0.808704,1.121142
0.842019,1.167076
0.875977,1.213876
0.910574,1.261537
0.945809,1.310055
0.981680,1.359427
1.018185,1.409650
1.055323,1.460719
1.093092,1.512631
1.131490,1.565382
1.170514,1.618968
1.210164,1.673387
1.250438,1.728634
1.291332,1.784705
1.332847,1.841598
1.374979,1.899307
1.417728,1.957829
1.461091,2.017162
1.505066,2.077300
1.549652,2.138240
1.594846,2.199979
1.640648,2.262512
1.687055,2.325836
1.734065,2.389948
1.781676,2.454843
1.829887,2.520517
1.878696,2.586967
1.928101,2.654189
1.978099,2.722180
2.028691,2.790935
2.079872,2.860450
2.131643,2.930723
2.184000,3.001749
2.236942,3.073524
2.290468,3.146044
2.344574,3.219306
2.399261,3.293306
2.454524,3.368040
2.510364,3.443505
2.566778,3.519696
2.623764,3.596610
2.681320,3.674242
2.739445,3.752590
2.798137,3.831649
2.857393,3.911415
2.917213,3.991886
2.977594,4.073056
3.038534,4.154922
3.100032,4.237480
3.162086,4.320727
3.224693,4.404658
3.287853,4.489271
3.351562,4.574560
3.415821,4.660523
3.480626,4.747155
3.545975,4.834453
3.611868,4.922413
3.678302,5.011031
3.745275,5.100303
3.812785,5.190226
3.880831,5.280796
3.949411,5.372009
4.018523,5.463860
4.088166,5.556348
4.158336,5.649467
4.229033,5.743213
4.300255,5.837585
4.371999,5.932576
4.444265,6.028184
4.517049,6.124405
4.590351,6.221235
4.664169,6.318670
4.738500,6.416707
4.813343,6.515342
4.888696,6.614571
4.964558,6.714391
5.040925,6.814797
5.117798,6.915786
5.195173,7.017355
5.273049,7.119499
5.351424,7.222215
5.430296,7.325499
5.509664,7.429347
5.589525,7.533756
5.669878,7.638722
5.750722,7.744242
5.832053,7.850311
5.913870,7.956926
5.996172,8.064084
6.078957,8.171780
6.162222,8.280011
6.245966,8.388773
6.330187,8.498063
6.414884,8.607877
6.500054,8.718211
6.585696,8.829062
6.671808,8.940426
6.758388,9.052300
6.845434,9.164679
6.932944,9.277560
7.020916,9.390941
7.109350,9.504816
7.198242,9.619182
7.287591,9.734036
7.377396,9.849374
7.467654,9.965193
7.558363,10.081489
7.649522,10.198258
7.741129,10.315497
7.833183,10.433203
7.925680,10.551371
8.018620,10.669998
8.112000,10.789081
8.205819,10.908615
8.300075,11.028599
8.394766,11.149027
8.489890,11.269897
8.585446,11.391204
8.681432,11.512946
8.777845,11.635119
8.874684,11.757720
8.971947,11.880744
9.069633,12.004188
9.167739,12.128050
9.266263,12.252325
9.365205,12.377010
9.464561,12.502101
9.564331,12.627595
9.664512,12.753489
9.765102,12.879779
9.866101,13.006462
9.967505,13.133534
10.069313,13.260991
10.171523,13.388831
10.274133,13.517050
10.377142,13.645645
10.480548,13.774612
10.584349,13.903947
10.688542,14.033648
10.793127,14.163710
10.898101,14.294131
11.003463,14.424908
11.109211,14.556036
11.215342,14.687512
11.321856,14.819334
11.428750,14.951498
11.536022,15.083999
11.643671,15.216836
11.751694,15.350005
11.860091,15.483502
11.968859,15.617324
12.077996,15.751468
12.187500,15.885930
12.297370,16.020708
12.407604,16.155798
12.518200,16.291196
12.629155,16.426899
12.740470,16.562905
12.852140,16.699209
12.964166,16.835809
13.076544,16.972702
13.189273,17.109883
