input_deg,output_deg
0.023582,0.026663
0.093781,0.105989
0.209723,0.236848
0.370459,0.417954
0.574982,0.647880
0.822224,0.925086
1.111071,1.247943
1.440371,1.614761
1.808938,2.023807
2.215563,2.473338
2.659017,2.961611
3.138062,3.486908
3.651450,4.047549
4.197933,4.641901
4.776265,5.268391
5.385203,5.925511
6.023510,6.611819
6.689961,7.325948
7.383339,8.066600
8.102438,8.832548
8.846067,9.622635
9.613046,10.435770
10.402210,11.270924
11.212408,12.127130
12.042502,13.003475
12.891372,13.899097
13.757911,14.813186
14.641028,15.744971
15.539649,16.693726
16.452715,17.658759
17.379185,18.639413
18.318036,19.635060
19.268259,20.645102
20.228869,21.668963
21.198894,22.706091
22.177385,23.755953
23.163410,24.818035
24.156060,25.891837
25.154442,26.976874
26.157689,28.072674
27.164951,29.178776
28.175403,30.294729
29.188238,31.420089
30.202675,32.554421
31.217954,33.697297
32.233335,34.848293
33.248104,36.006991
34.261569,37.172978
35.273059,38.345844
36.281927,39.525181
37.287548,40.710585
38.289319,41.901653
39.286660,43.097984
40.279011,44.299179
41.265837,45.504840
42.246619,46.714567
43.220864,47.927964
44.188096,49.144631
45.147859,50.364172
46.099717,51.586186
47.043254,52.810274
47.978070,54.036036
48.903783,55.263068
49.820030,56.490967
50.726462,57.719327
51.622747,58.947739
52.508567,60.175792
53.383621,61.403074
54.247620,62.629166
55.100288,63.853649
55.941362,65.076097
56.770591,66.296082
57.587737,67.513170
58.392570,68.726921
59.184871,69.936891
59.964432,71.142628
60.731054,72.343673
61.484544,73.539560
62.224721,74.729814
62.951407,75.913951
63.664435,77.091477
64.363643,78.261886
65.048876,79.424660
65.719984,80.579270
66.376822,81.725170
67.019254,82.861801
67.647144,83.988585
68.260365,85.104927
68.858792,86.210212
69.442305,87.303805
70.010788,88.385045
70.564131,89.453250
71.102225,90.507709
71.624968,91.547684
72.132259,92.572405
72.624003,93.581073
73.100108,94.572852
73.560487,95.546870
74.005055,96.502217
74.433732,97.437942
74.846442,98.353055
75.243113,99.246518
75.623676,100.117251
75.988066,100.964127
76.336223,101.785971
76.668088,102.581562
76.983606,103.349630
77.282726,104.088862
77.565396,104.797896
77.831567,105.475332
78.081191,106.119729
78.314219,106.729612
78.530598,107.303478
78.730273,107.839802
78.913185,108.337046
79.079265,108.793668
79.228437,109.208130
79.360611,109.578913
79.475686,109.904529
79.573542,110.183531
79.654038,110.414531
79.717013,110.596209
79.762279,110.727328
79.789623,110.806747
79.798797,110.833430
