input_deg,output_deg
0.014896,0.023582
0.059265,0.093781
0.132627,0.209723
0.234504,0.370459
0.364416,0.574982
0.521884,0.822224
0.706428,1.111071
0.917570,1.440371
1.154829,1.808938
1.417728,2.215563
1.705786,2.659017
2.018525,3.138062
2.355465,3.651450
2.716127,4.197933
3.100032,4.776265
3.506700,5.385203
3.935653,6.023510
4.386410,6.689961
4.858494,7.383339
5.351424,8.102438
5.864721,8.846067
6.397907,9.613046
6.950501,10.402210
7.522025,11.212408
8.112000,12.042502
8.719946,12.891372
9.345383,13.757911
9.987834,14.641028
10.646818,15.539649
11.321856,16.452715
12.012469,17.379185
12.718178,18.318036
13.438504,19.268259
14.172967,20.228869
14.921088,21.198894
15.682388,22.177385
16.456388,23.163410
17.242608,24.156060
18.040569,25.154442
18.849792,26.157689
19.669798,27.164951
20.500107,28.175403
21.340241,29.188238
22.189720,30.202675
23.048064,31.217954
23.914795,32.233335
24.789433,33.248104
25.671500,34.261569
26.560515,35.273059
27.456000,36.281927
28.357475,37.287548
29.264462,38.289319
30.176480,39.286660
31.093051,40.279011
32.013696,41.265837
32.937935,42.246619
33.865289,43.220864
34.795278,44.188096
35.727425,45.147859
36.661248,46.099717
37.596270,47.043254
38.532010,47.978070
39.467990,48.903783
40.403730,49.820030
41.338752,50.726462
42.272575,51.622747
43.204722,52.508567
44.134711,53.383621
45.062065,54.247620
45.986304,55.100288
46.906949,55.941362
47.823520,56.770591
48.735538,57.587737
49.642525,58.392570
50.544000,59.184871
51.439485,59.964432
52.328500,60.731054
53.210567,61.484544
54.085205,62.224721
54.951936,62.951407
55.810280,63.664435
56.659759,64.363643
57.499893,65.048876
58.330202,65.719984
59.150208,66.376822
59.959431,67.019254
60.757392,67.647144
61.543612,68.260365
62.317612,68.858792
63.078912,69.442305
63.827033,70.010788
64.561496,70.564131
65.281822,71.102225
65.987531,71.624968
66.678144,72.132259
67.353182,72.624003
68.012166,73.100108
68.654617,73.560487
69.280054,74.005055
69.888000,74.433732
70.477975,74.846442
71.049499,75.243113
71.602093,75.623676
72.135279,75.988066
72.648576,76.336223
73.141506,76.668088
73.613590,76.983606
74.064347,77.282726
74.493300,77.565396
74.899968,77.831567
75.283873,78.081191
75.644535,78.314219
75.981475,78.530598
76.294214,78.730273
76.582272,78.913185
76.845171,79.079265
77.082430,79.228437
77.293572,79.360611
77.478116,79.475686
77.635584,79.573542
77.765496,79.654038
77.867373,79.717013
77.940735,79.762279
77.985104,79.789623
78.000000,79.798797
