input_deg,output_deg
0.022581,0.029971
0.089800,0.119118
0.200817,0.266114
0.354722,0.469422
0.550545,0.727320
0.787261,1.037936
1.063804,1.399285
1.379067,1.809303
1.731919,2.265876
2.121206,2.766879
2.545762,3.310195
3.004410,3.893746
3.495975,4.515504
4.019278,5.173511
4.573150,5.865891
5.156426,6.590852
5.767952,7.346696
6.406586,8.131817
7.071198,8.944704
7.760671,9.783937
8.473901,10.648186
9.209801,11.536204
9.967296,12.446825
10.745326,13.378961
11.542846,14.331590
12.358825,15.303758
13.192248,16.294570
14.042114,17.303185
14.907438,18.328815
15.787248,19.370715
16.680588,20.428182
17.586519,21.500552
18.504116,22.587194
19.432470,23.687507
20.370689,24.800917
21.317895,25.926876
22.273231,27.064857
23.235853,28.214353
24.204935,29.374876
25.179671,30.545950
26.159269,31.727116
27.142957,32.917928
28.129982,34.117947
29.119607,35.326747
30.111117,36.543910
31.103811,37.769026
32.097010,39.001690
33.090054,40.241504
34.082298,41.488076
35.073121,42.741016
36.061916,43.999941
37.048096,45.264470
38.031094,46.534224
39.010359,47.808828
39.985357,49.087909
40.955575,50.371096
41.920515,51.658019
42.879695,52.948309
43.832651,54.241599
44.778936,55.537522
45.718116,56.835711
46.649775,58.135802
47.573510,59.437427
48.488933,60.740221
49.395670,62.043817
50.293359,63.347848
51.181653,64.651946
52.060216,65.955742
52.928722,67.258865
53.786861,68.560943
54.634328,69.861600
55.470832,71.160459
56.296090,72.457141
57.109829,73.751262
57.911784,75.042435
58.701699,76.330266
59.479324,77.614361
60.244418,78.894314
60.996746,80.169717
61.736080,81.440152
62.462198,82.705194
63.174882,83.964407
63.873922,85.217345
64.559112,86.463550
65.230250,87.702549
65.887141,88.933855
66.529591,90.156963
67.157413,91.371350
67.770424,92.576470
68.368445,93.771754
68.951300,94.956606
69.518819,96.130400
70.070836,97.292478
70.607188,98.442144
71.127720,99.578663
71.632280,100.701256
72.120720,101.809092
72.592901,102.901288
73.048689,103.976901
73.487957,105.034924
73.910584,106.074278
74.316459,107.093806
74.705479,108.092271
75.077550,109.068343
75.432589,110.020597
75.770522,110.947508
76.091287,111.847442
76.394835,112.718652
76.681125,113.559277
76.950132,114.367339
77.201839,115.140739
77.436242,115.877267
77.653347,116.574603
77.853166,117.230327
78.035718,117.841935
78.201023,118.406858
78.349102,118.922484
78.479967,119.386191
78.593622,119.795379
78.690050,120.147512
78.769213,120.440159
78.831040,120.671041
78.875422,120.838073
78.902206,120.939412
78.911189,120.973489
