input_deg,output_deg
0.015278,0.022581
0.060785,0.089800
0.136028,0.200817
0.240517,0.354722
0.373760,0.550545
0.535265,0.787261
0.724541,1.063804
0.941097,1.379067
1.184440,1.731919
1.454080,2.121206
1.749524,2.545762
2.070282,3.004410
2.415862,3.495975
2.785772,4.019278
3.179520,4.573150
3.596616,5.156426
4.036567,5.767952
4.498883,6.406586
4.983071,7.071198
5.488640,7.760671
6.015099,8.473901
6.561956,9.209801
7.128719,9.967296
7.714898,10.745326
8.320000,11.542846
8.943534,12.358825
9.585009,13.192248
10.243932,14.042114
10.919813,14.907438
11.612160,15.787248
12.320481,16.680588
13.044285,17.586519
13.783081,18.504116
14.536376,19.432470
15.303680,20.370689
16.084500,21.317895
16.878346,22.273231
17.684726,23.235853
18.503148,24.204935
19.333120,25.179671
20.174152,26.159269
21.025751,27.142957
21.887427,28.129982
22.758687,29.119607
23.639040,30.111117
24.527995,31.103811
25.425060,32.097010
26.329743,33.090054
27.241554,34.082298
28.160000,35.073121
29.084590,36.061916
30.014833,37.048096
30.950236,38.031094
31.890309,39.010359
32.834560,39.985357
33.782497,40.955575
34.733629,41.920515
35.687465,42.879695
36.643512,43.832651
37.601280,44.778936
38.560276,45.718116
39.520010,46.649775
40.479990,47.573510
41.439724,48.488933
42.398720,49.395670
43.356488,50.293359
44.312535,51.181653
45.266371,52.060216
46.217503,52.928722
47.165440,53.786861
48.109691,54.634328
49.049764,55.470832
49.985167,56.296090
50.915410,57.109829
51.840000,57.911784
52.758446,58.701699
53.670257,59.479324
54.574940,60.244418
55.472005,60.996746
56.360960,61.736080
57.241313,62.462198
58.112573,63.174882
58.974249,63.873922
59.825848,64.559112
60.666880,65.230250
61.496852,65.887141
62.315274,66.529591
63.121654,67.157413
63.915500,67.770424
64.696320,68.368445
65.463624,68.951300
66.216919,69.518819
66.955715,70.070836
67.679519,70.607188
68.387840,71.127720
69.080187,71.632280
69.756068,72.120720
70.414991,72.592901
71.056466,73.048689
71.680000,73.487957
72.285102,73.910584
72.871281,74.316459
73.438044,74.705479
73.984901,75.077550
74.511360,75.432589
75.016929,75.770522
75.501117,76.091287
75.963433,76.394835
76.403384,76.681125
76.820480,76.950132
77.214228,77.201839
77.584138,77.436242
77.929718,77.653347
78.250476,77.853166
78.545920,78.035718
78.815560,78.201023
79.058903,78.349102
79.275459,78.479967
79.464735,78.593622
79.626240,78.690050
79.759483,78.769213
79.863972,78.831040
79.939215,78.875422
79.984722,78.902206
80.000000,78.911189
