input_deg,output_deg
0.015278,0.011711
0.060785,0.046601
0.136028,0.104319
0.240517,0.184532
0.373760,0.286919
0.535265,0.411177
0.724541,0.557013
0.941097,0.724148
1.184440,0.912315
1.454080,1.121255
1.749524,1.350722
2.070282,1.600475
2.415862,1.870282
2.785772,2.159918
3.179520,2.469163
3.596616,2.797803
4.036567,3.145625
4.498883,3.512423
4.983071,3.897989
5.488640,4.302120
6.015099,4.724610
6.561956,5.165253
7.128719,5.623845
7.714898,6.100175
8.320000,6.594032
8.943534,7.105199
9.585009,7.633456
10.243932,8.178576
10.919813,8.740327
11.612160,9.318469
12.320481,9.912752
13.044285,10.522921
13.783081,11.148708
14.536376,11.789836
15.303680,12.446017
16.084500,13.116950
16.878346,13.802322
17.684726,14.501806
18.503148,15.215062
19.333120,15.941734
20.174152,16.681450
21.025751,17.433824
21.887427,18.198450
22.758687,18.974908
23.639040,19.762758
24.527995,20.561541
25.425060,21.370782
26.329743,22.189984
27.241554,23.018633
28.160000,23.856193
29.084590,24.702111
30.014833,25.555811
30.950236,26.416699
31.890309,27.284162
32.834560,28.157567
33.782497,29.036261
34.733629,29.919575
35.687465,30.806818
36.643512,31.697287
37.601280,32.590259
38.560276,33.484996
39.520010,34.380750
40.479990,35.276754
41.439724,36.172236
42.398720,37.066409
43.356488,37.958482
44.312535,38.847655
45.266371,39.733127
46.217503,40.614091
47.165440,41.489744
48.109691,42.359282
49.049764,43.221909
49.985167,44.076833
50.915410,44.923275
51.840000,45.760465
52.758446,46.587649
53.670257,47.404091
54.574940,48.209073
55.472005,49.001900
56.360960,49.781901
57.241313,50.548431
58.112573,51.300874
58.974249,52.038647
59.825848,52.761195
60.666880,53.468000
61.496852,54.158581
62.315274,54.832490
63.121654,55.489321
63.915500,56.128704
64.696320,56.750309
65.463624,57.353847
66.216919,57.939068
66.955715,58.505761
67.679519,59.053755
68.387840,59.582917
69.080187,60.093154
69.756068,60.584405
70.414991,61.056649
71.056466,61.509895
71.680000,61.944184
72.285102,62.359587
72.871281,62.756203
73.438044,63.134154
73.984901,63.493585
74.511360,63.834660
75.016929,64.157558
75.501117,64.462473
75.963433,64.749608
76.403384,65.019171
76.820480,65.271376
77.214228,65.506433
77.584138,65.724551
77.929718,65.925930
78.250476,66.110758
78.545920,66.279209
78.815560,66.431437
79.058903,66.567575
79.275459,66.687727
79.464735,66.791970
79.626240,66.880344
79.759483,66.952854
79.863972,67.009464
79.939215,67.050091
79.984722,67.074605
80.000000,67.082826
